sku,description
EF021348,"Ideal for outdoor or indoor display, these Oregon state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <br><br><b>These Oregon state flags are Made in America and are on sale now!</b>"
Puerto-Rico-Flag-10x15,"Ideal for outdoor or indoor display, these Puerto Rico flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These Puerto Rico flags are Made in America and are on sale now!</b>"
EF022076,"<P align=""justify"">Ideal for outdoor or indoor display, these Texas state flags are made of 100% heavyweight nylon and specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets and steel rope thimbles. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<p><b>These flags are Made in America and are on sale now!</b>"
EF022158,"Ideal for outdoor or indoor display, these state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<br><br>
<b>These Washington state flags are Made in America and are on sale now!</b>"
AF002760,"Made with 100% long-lasting 2-ply spun polyester, our Tough-Tex flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>The longest lasting flag available anywhere.</li>
<li>Greatest durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest flag manufacturer in the US.</li>
<li>Heavy rope heading, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This great flag is available for immediate shipping to your door. Other websites sell this flag for $399.99. Buy it direct for less from AmericanFlags.com!</b>"
AF2350,"AmericanFlags.com is proud to offer these 10' X 19' All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty roped heading with rust-proof hooks.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Appliqu<li>d stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
VFGSP6858,"The G-Spec line of flag products meets all official US Government specifications and these flags are proudly made in the United States. AmericanFlags.com is proud to offer these flags to government purchasers at a deep discount.<br>

<b>These US flags feature the following:</b>

+Exclusive BEST 2-ply mercerized cotton bunting.<br>
+Lock-stitched seams, material and color-matched thread.<br>
+Heavy canvas duck heading constructed to government specifications.<br>
+Heavy duty woven rope heading.<br>
+Official government size (1:1.9) host fly ratio.<br>

<b>When you shop at AmericanFlags.com....</b><br>
+You get great quantity discounts.<br>
+Fast shipping.<br>
+Superior US-based customer service.<br>
+Hassle-free returns.<br>
+A company you can trust.<br>"
VF19221000,"<b>Perma-Nyl Colorfast American Flag Made by Valley Forge</b><br>
Flags exposed to harsh sunlight, wet weather and wide temperature changes require a strong construction material!</b>
<ul>
<li>These flags are Made in America with sturdy 200 denier nylon fabric.</li>
<li>Best resistance to damaging ultraviolet (UV) radiation.</li>
<li>Longest lasting, fade-resistant and tear-resistant material available.</li>
<li>Flies in the lightest breeze.</il>
<li>Provides the brightest colors for a great look.</li>
<li>1-Year manufacturer's ColorFast guarantee.</li></ul>

<b>What is a Perma-Nyl American flag?</b>
<ul><li>Perma-Nyl American flags are made by Valley Forge Flag Company, Inc., one of the world's oldest and largest flag manufacturers.</il>
<li>Each Perma-Nyl US flag is made of 100% nylon using the finest fabrics, designed specifically or outdoor use.</li>
<li>These flags exhibit tremendous strength retention under UV exposure as well as world-class tensile and tear strength.</li>
<li>Nylon provides 25% more toughness than polyester with greater abrasion and tear resistance.</li></ul>

<b>Our Perma-Nyl American flags also feature:</b>
<ul><li>Strong durable GALVANIZED thimbles.</li>
<li>Dense, lock-stitched embroidered stars.</li>
<li>Heavy-gauge canvas headers.</li>
<li>Double-stitched seams and 4 rows of stitching at fly end.</li></ul>

<b>This great American flag is available for immediate shipping to your door. Other websites and big box stores charge $399.99 for this flag. Buy it direct for less from AmericanFlags.com!</b>"
EF022418,"<P align=""justify"">Ideal for outdoor or indoor display, these Texas state flags are made of 100% heavyweight nylon and specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets and steel rope thimbles. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<p><b>These Texas flags are Made in America and are on sale now!</b>"
AF002765,"Made with 100% long-lasting 2-ply spun polyester, our Tough-Tex flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>The longest lasting flag available anywhere.</li>
<li>Greatest durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest flag manufacturer in the US.</li>
<li>Heavy rope heading, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This great flag is available for immediate shipping to your door. Other websites sell this flag for $419.99. Buy it direct for less from AmericanFlags.com!</b>"
